model,year,kilometers,engine,price,description
Mazda 3,2015,108,Gasolina,8400,"Se vende calidad de vehículo, excelente rendimiento de combustible y tecnología, motor 2.0 skyactive, esta puede ser su próxima nave. Se muestra en Sonsonate preferiblemente, 108k millas, full eléctrico a toda prueba. Véalo y negociamos…"
Jeep Renegade,2019,31000,Gasolina,11500,Precio negociable: si Color : Naranjado
Kia Rio,2017,142000,Gasolina,7600,"Precio negociable: si DESCRIPCIÓN CALIFICACIONES SEGURIDAD Vendo Kia Rio 2017 LX, Traído con Poco Golpe - Motor 1.6 con Sistema ECO, Todas las Bolsas Buenas, Motor y Caja a Toda Prueba, Suspensión y Dirección al 100%, Pintura e Interior en Excelentes Condiciones, Mandos al Timón, Cero Códigos, Mantenimiento al Día, A/C Funcionando Nítido. Precio Poco Negociable. Traspaso Directo"
BMW 328,2015,110000,Gasolina,16000,"Color : Beige Se agarra carro más ribete, nada sobrevalorado Se vende Bimmer 328i año 2015 (2.0 T turbo) con algunas extras en el motor Downpipe VRSF De alto flujo, válvula del turbo GFB, filtro K&N Typhoon series, Body kit completo con mirror caps efecto fibra de carbono y parrilla M , Rines 19 Staggered, color original BMW Orion Silver, pantalla grande, Cámaras laterales, sensores de punto ciego, asistencia de frenado de emergencia y salida de carril, Discos delanteros Ventilados, Headlights BMW LED auto regulables Motor seco, sin detalles mecánico"
Dodge Dart,2015,74000,Gasolina,7500,"Garantía: Como es visto no hay garantía Financiamiento: no Precio negociable: si Color : azul Dodge Dart RALLYE 2015, motor 2.4, 4 cilindros, automatico secuencial 6vel, bolsas buenas, rines especiales 18, 67mil millas, paquete electrico completo, controles de audio y voz al timon, pantalla tactil de fabrica y camara retroceso, control traccion antiderrapes (DSC), llave fobik, sistema aire acondicionado y calefaccion en perfecto estado, halogenos de fabrica, stop de baul racetrack led (iluminado completo baul y stops), intake, poleas ultralivianas, capo especial aluminio version GT, spoiler delantero, cola de pato con led, polarizado, asientos tipo butaca, tuercas de seguridad en los rines, mantenimientos al dia, papeles en regla traspaso directo. vehiculo a toda prueba. PRECIO $7,500 negociable. MAYOR INFORMACION LLAMAR AL whatsapp disponible"
Ford Focus,2007,200000,Gasolina,3000,"Garantía: Como es visto no hay garantía Color : Gris Plata DESCRIPCIÓN CALIFICACIONES SEGURIDAD Ford Focus 2007 sedan 4 puertas automatico. En buen estado, bien cuidado."
otros + DATSUN,1980,1000000,Gasolina,2000,Color : AZUL NEGRO DATSUN MODELO 210 CLASICO A TODA PRUEBA
Chevrolet Aveo,2011,133950,Gasolina,4900,"Precio negociable: si DESCRIPCIÓN ARTÍCULOS CALIFICACIONES SEGURIDAD Chevrolet Aveo LT 2011, color negro, automático, motor 1.6 muy económico, 133,950 millas. Al ser versión LT cuenta con ventanas y espejos eléctricos, además de cierre central en puerta de piloto, tapicería y pintura en excelente estado, aire acondicionado funcionando. Precio negociable. Se muestra solamente en Centro Comercial Plaza Merliot, y si lo desea puede traer a su mecánico para revisión. Para mayor información llamar o escribir por Whatsapp."
Mitsubishi Lancer,2013,158000,Gasolina,6700,"Precio negociable: si Color : Blanco Mitsubishi Lancer 2013, automático, motor 2.0. Aire acondicionado funcionando bien. Precio $ 6,700 negociables. Llamar o escribir."
Nissan Altima,2005,112000,Gasolina,3800,"Precio negociable: si Color : Rojo Vendo Bonito Nissan Altima año 2005 en $3800 poco negociable, Color Rojo con sus Rines especiales Originales, A/C funcionando y Pantalla Táctil de Videos con USB con sonido de fabrica y trasmisión secuencial automática. Para mayor información llamar a los siguientes números de celular. Con Diego Con Úrsula Se muestra en Plaza Mundo."
Nissan Sentra,2015,16100,Gasolina,6800,"Precio negociable: si Color : Rojo DESCRIPCIÓN CALIFICACIONES SEGURIDAD se vende Nissan Sentra full extra año 2015, a toda prueba. el motivo de venta es por viaje fuera del país, precio poco negociable"
Hyundai Elantra,2015,98000,Gasolina,9100,"Financiamiento: no Precio negociable: si Color : Azul DESCRIPCIÓN CALIFICACIONES SEGURIDAD HYUNDAI ELANTRA 2015 SPORT LIMITED - AUTOMATICO SECUENCIAL - MOTOR 2.0 - SISTEMA ECO - SUNROOF - ENCENDIDO DE APROXIMACIÓN/ BOTÓN - SENSORES DE APROXIMACION EN PUERTAS DELANTERAS Y BAUL - ASIENTOS DE CUERO - ASIENTO DE CONDUCTOR ELECTRICO CON RESPALDO LUMBAR - PANTALLA TACTIL - CAMARA DE RETROCESO DE FABRICA - MANDOS AL TIMOON - BLUETOOTH, CD, AUX, USB - HALOGENOS - STOPS LED - ODOMETRO: 98,XXX MILLAS - RINES ESPECIALES DE LUJO - VIAS EN RETROVISORES - DETALLES CROMADOS - CALEFACCION EN ASIENTOS - LLANTAS COMO NUEVAS - CERO RUIDOS DE SUSPENSION - CERO FUGAS - TRASPASO DIRECTO - $9,100.00 NEG - INFO /"
Kia Rio,2019,107000,Gasolina,7699,"Precio negociable: si Kia Rio 2019 en camino al país, bolsas frontales buenas, motor intacto, millaje real de 107.000, a reservar. 7.699 Contacto: Síguenos en Instagram y en Facebook como DM Motors"
Toyota Corolla,2007,128,Gasolina,5500,"DESCRIPCIÓN CALIFICACIONES SEGURIDAD Se vende toyota corolla CE, suspensión suave, vidrios manuales , aire acondicionado al 100%, sometido a toda prueba mecánica, traspaso directo. Se muestra en San Miguel precio fijo"
Kia Forte,2018,69038,Gasolina,8950,Color : negro Vendo kia forte 2018 motor 2.0 con eco ya esta en aduana nejapa 69mil millas bolsas buenas golpe leve puede verlo sin compromiso se vende reparado o chocado se entrega con poliza. reparado $8950 y chocado $7600
Hyundai Accent,2007,155000,Gasolina,4600,"Precio negociable: si Color : Gris rata DESCRIPCIÓN CALIFICACIONES SEGURIDAD Accent 2007 sedan , aire acondicionado, 4 puertas, motor y caja sin detalles . Detalles de pintura y motor con poliza 1 compra venta a mi nombre Precio poco negociable. , contactarse al al whatsapp o llamadas"
Hyundai Elantra,2015,150539,Gasolina,7800,"Color : ROJO DESCRIPCIÓN CALIFICACIONES SEGURIDAD HYUNDAI ELANTRA 2015, Automático y Secuencial, Motor 1.8, amplio y confortable, amplio baúl, Sistema ECO drive, con modos de manejo Normal, Confort y Sport, 150,539 Millas. Vidrios eléctricos, asiento ajustable, sin códigos activo, pantalla táctil con Bluetooth, cámara de retroceso, mandos al timón, rines originales de fábrica, A/C funcionando, pintura en muy buenas condiciones. Precio $7,800 negociables. Se muestra en Antiguo Cuscatlán. Tel: ."
Hyundai Accent,2014,133600,Gasolina,7300,"Precio negociable: si Color : Cafe DESCRIPCIÓN CALIFICACIONES SEGURIDAD Vendo mi Hyundai accent GLS versión de lujo con sus mandos al timón estilo elegante en su interior, silvines led, rines especiales de fábrica. Cámara de retroceso Precio fijo $7300 130,000 millas Mantenimiento al día Puede escribir y hacemos negocio"
Kia Sephia,1999,189000,Gasolina,2500,"Precio negociable: si DESCRIPCIÓN CALIFICACIONES SEGURIDAD Transmisión Manual 4 Cilindros Motor, transmisión, dirección, luces, y chasis funcionando sin fallas. Detalles: tiene para a/c pero necesita cambio de tubería, y la radio no funciona. El resto es estético. Puede llevar a su mecánico de confianza al momento de verlo. Muestro en Gasolinera Uno de la 75 av Norte, San Salvador u otras Gasolineras en San Salvador entre Los Héroes y la Escalón."
Nissan Sentra,2017,51000,Gasolina,8199,"Garantía: Como es visto no hay garantía Financiamiento: si Precio negociable: si Color : Gris DESCRIPCIÓN CALIFICACIONES SEGURIDAD Motor 1.8, Automático, 52k millas, A/C perfecto estado, llantas 75/100, Vidrios de puertas eléctricos, Espejos retrovisores eléctricos, 2 juegos de llaves con Chip, Tapicería en buen estado, Radio - Pantalla original, 3 modos de manejo (ECO, SPORT, NORMAL), RADIO USB/AUX, BLUETOOTH CIERRE CENTRAL SOLO WHATSAPP"
Hyundai Elantra,2016,180000,Gasolina,7800,Color : Gris DESCRIPCIÓN CALIFICACIONES SEGURIDAD QUE LAS AVENTURAS NUNCA FALTEN HYUNDAI ELANTRA 2016 - Motor 1.8 - 4 cil. súper economico - Automático - Paquete electrico - CD player con conexión a Aux. - Amplio baúl - Mandos en el timon - Cruise control - A/C 100% - Eco
Dodge DART,2013,89000,Gasolina,6200,"Precio negociable: si Color : Rojo Puede verlo sin compromiso sobre 13 Calle Oriente y 6ta. Ave. Sur Barrio Concepcion en San Miguel , entre lunes y viernes de 3pm a 6.30pm Interesados Illamarme  . Version FULL EXTRAS 2013. Vendo NO cambios. Muestro en San Miguel. Motor 1.4 de 4 cilindros TURBO. Economico y Potente . Economia en consumo de combustible. Ideal para paseos en familia . Estilo Sedan 4 puertas + Baul espacioso. Transmision Manual 6 velocidades + Retroceso. Aire Acondicionado Heladito. Pantalla Tactil . Sonido Alpine potente Premium . USB , AUX , CD ,  AV , SD. Doble salida de escape. Apoya cabezas en todos los asientos. Tablero con luces Neon regulables. Camara de Retroceso. Vidrios y espejos electricos . Mandos al Timon . Frenos ABS . Bateria LTH HI TECH nueva. Baul Espacioso con su llanta de repuesto, mica y quita tuercas. Vidrios Polarizados . Mantenimientos al dia . Aceite de caja nuevo . Aceite de motor nuevo . Bujias nuevas . Sin fugas ni liqueos . Llantas perfil ancho casi nuevas. Ya solo esta de subirse . Motor parejito y suave . Sin pilotos encendidos."
