model,year,kilometers,engine,price,description
Nissan Sentra,2019,0,Gasolina,9600,"Financiamiento: no Precio negociable: si Funcionando al 100 Bolsas intactas, nunca reparadas Rines especiales Sistema Eco, hasta 20 kilómetros por Litro Cámara de retroceso CarPlay Android Auto Pantalla táctil Cámara de retroceso Llave de proximidad Sistema inteligente anticolisión frontal Mandos al timón Control de crucero Sistema de sensor de luz automática Sistema de Aire Acondicionado de Doble Zona"
Volkswagen Jetta GLI,2014,78000,Gasolina,9000,Garantía: Como es visto no hay garantía Financiamiento: no Precio negociable: si Color : Gris plateado DESCRIPCIÓN CALIFICACIONES SEGURIDAD Motor 2.0 Turbo GLI Asientos de cuero Rin 17 Especial Rooftop automático Sonido Fender Silvines especiales Poco millaje: 48 Mil Millas o 78 Mil Km
Hyundai Elantra,2001,5200,Gasolina,3800,"Precio negociable: si DESCRIPCIÓN CALIFICACIONES SEGURIDAD Vendo hyundai elantra 2001 Detalles de pintura minimos Motor al 100, cero fuga de aceite Aire acondicionando nitido recien cargado a toda prueba. Rines especiales, cd player sony Precio poco negociable"
Nissan Versa,2017,103173,Gasolina,6500,Color : Negro DESCRIPCIÓN CALIFICACIONES SEGURIDAD Vendo nissan versa 2017 Bolsas de aire intactas Mandos al timón Vidrios eléctricos Económico motor 1.6 WhatsApp Interesados responsables
Nissan Sentra,2020,32000,Gasolina,13700,"Precio negociable: si Vendo Nissan Sentra 2020 SV, Motor 2.0 de 4 Cilindros, Transmisión Automática, Todas las Bolsas Buenas, Motor y Caja a Todo Tipo de Prueba, Suspensión y Dirección al 100%, Pantalla Táctil de 8 Pulgadas con Camara de Retroceso, Pintura en Perfecto Estado, Tapiciera en Excelentes Condiciones, Cero Códigos, Mantenimiento al Día, Encedido de Botón, Llave de Aproximidad, Cierre Central, Rines Especiales Bien Enllantado, Mandos al Timón, Calefacción en Asientos Delanteros , A/C Funcionando Nítido. Precio Negociable, NO CAMBIOS. Traspaso Directo"
Hyundai Accent,2017,114000,Gasolina,8000,"Precio negociable: si DESCRIPCIÓN SEGURIDAD Vendo Hyundai Accent 2017 SE, Motor 1.6 con Sistema ECO, Bolsas Buenas, Transmisión Automática, Motor y Caja a Todo Tipo de Prueba, Suspensión y Dirección al 100%, Rines Especiales, Cero Códigos, Mantenimiento al Día, Pintura y Tapicería en Excelentes Condiciones, A/C Funcionando Nítido. Precio Negociable. Traspaso Directo"
Nissan Sentra,2018,74741,Gasolina,8000,"Color : Azul NISAN SENTRA 2018 full extras cámara tracera motor 1800, 74741 millas sin detalles... $8000 negociable."
Nissan Sentra,2016,47000,Gasolina,8300,"Precio negociable: si DESCRIPCIÓN CALIFICACIONES SEGURIDAD Sistema de Frenos ABS, sistema de alarma de fabrica y alarma adicional Cierre central 4 puertas, 5 asientos 47mil millas 3 modos de manejo Llantas nuevas rines de fabrica Tapicería buenas condiciones 4 llantas buenas casi nuevas Tres forma de manejo: Sistema Eco. sport .normal 4 cilindros motor 1.8 cc"
Ford Fiesta,2015,80000,Gasolina,5700,"Precio negociable: si DESCRIPCIÓN ARTÍCULOS CALIFICACIONES SEGURIDAD Vendo Ford Fiesta 2015 SE, Motor 1.6 Súper Económico, Transmisión Automática, Todas las Bolsas Buenas, Pintura en Perfecto Estado, Tapiciera en Buenas Condiciones, Mantenimiento al Día, Cero Códigos, Motor y Caja a Todo Tipo de Prueba, Suspensión y Dirección al 100%, A/C Funcionando Nítido, Mandos al Timón, Bluetooth. Precio Negociable, Transpaso Directo."
Ford Focus,2013,141000,Gasolina,5000,"Precio negociable: si Color : Negro DESCRIPCIÓN ARTÍCULOS CALIFICACIONES SEGURIDAD Motor de 2.0. 4 Puertas, 5 Pasajeros. Sunroof. Transmisión Manual. Recién afinado. Tapicería en buen estado. Vidrios/retrovisores eléctricos. Precio negociable. 141,000 Mi. Rines especiales."
