model,year,kilometers,engine,price,description
Hyundai Elantra,2018,78000,Gasolina,9900,"Precio negociable: si Color : AZUL $9,900.00 poco negociable, se acepta vehículo a cuenta! Pantalla con cámara de fábrica, rines especiales, mandos la timón, todos sus sensores, a toda prueba! Tiene 78,000 millas. Traspaso directo! Mayor información llamar"
Ford Focus,2007,200000,Gasolina,3000,"Garantía: Como es visto no hay garantía Color : Gris Plata DESCRIPCIÓN CALIFICACIONES SEGURIDAD Ford Focus 2007 sedan 4 puertas automatico. En buen estado, bien cuidado."
Mitsubishi Galant,2003,1456,Gasolina,4100,"Garantía: Como es visto no hay garantía Financiamiento: no Precio negociable: si Color : Beige vendo mitsubishi galant 2003 bien cuidado pintura 9 de 10 tapicería 9 de 10 llantas bien enteronas automático corre bonito con mofle motor 2.4 vidrios eléctricos cierre central parrilla thulé CD player aire acondicionado quema coco bolsas de aire buenas forros en los asientos no tira humo ni gasta aceite ni refrigerante power estering rines especiales baúl espacioso tarjeta ami nombre traspaso directo todo legal nada de esquelas lleva discos nuevos de frenos terminales nuevos y batería nueva muestro en paseo Venecia unicentro soyapango o plaza mundo pido 4,100 negociable puede verlo sin compromiso puede traer su mecánico de confianza luces buenas cero check engine todos sus marcadores buenos carro de uso familiar nunca me a dejado tirado carro fiel solo gente seria en comprar no pérdidas de tiempo no ofertas absurdas ni coyotes"
Nissan Versa,2018,0,Gasolina,7600,Precio negociable: si Color : Negro Nissan Versa 2018 SV Motor 1.6 Automático Aire acondicionado Vidrios y espejos eléctricos Cierre central con control Todas las bolsas buenas Mandos al timón Tel.
Toyota Corolla,2020,72668,Gasolina,12950,"Garantía: Como es visto no hay garantía Financiamiento: no Precio negociable: si Color : NEGRO ¡VEHÍCULO EN CAMINO! TOYOTA COROLLA LE 2020 PRECIO: $12,950.00 (01–1135). Para mayor información puede comunicarse al por medio de llamada o WhatsApp. Enlace pagina web: CARACTERÍSTICAS: - Arranca. - Llave presente. - Bolsas frontales buenas. - 72,668 millas actuales. - Mandos al timón. - Conexion bluetooth . - Paquete electrico. - Pantalla touch. - Cámara de retroceso. - Transmisión automática. - Motor 1.8 L de 4 cilindros. PRECIO: $12,950.00 FUERA DE ADUANA. PARA MAYOR INFORMACIÓN COMUNICARSE AL TELÉFONO O WHATSAPP: / . #sedan #importaciondevehiculos #carros #ventadevehiculos #venta #importacion #ventacarros #TOYOTA #toyota #toyotacorolla #toyotacorolla2020 #ToyotaCorollaLe #toyotacorollale #CorollaLE #corollale #corolla"
Kia Rio,2017,82300,Gasolina,9500,"Garantía: Como es visto no hay garantía Precio negociable: si Color : Gris Plata DESCRIPCIÓN CALIFICACIONES SEGURIDAD MECANICO, DE AGENCIA Y CON MANTENIMIENTOS ACTIVOS, MOTOR 1.2, GASOLINA, 54 KM POR GALON, 5 VELOCIDADES, 82,300 Km (COMPROBABLES); TAPICERIA NITIDA; AIRE ACONDICIONADO, NUNCA CHOCADO, UN SOLO DUEÑO; MOTOR Y FUNCIONAMIENTO EN PERFECTAS CONDICIONES. TEL/WHATSAPP:"
Kia Forte,2015,153000,Gasolina,7050,"Precio negociable: si DESCRIPCIÓN CALIFICACIONES SEGURIDAD Vendo KIA FORTE 2015 LX, Motor 1.8 con Sistema ECO, Transmisión Automática Secuencial, Bolsas Buenas, Motor y Caja a Toda Prueba, Suspensión y Dirección al 100%, Bien Enllantado con Rines Especiales, Pintura en Excelentes Condiciones, Tapiciera en Buen Estado, Mantenimiento al Día, A/C Funcionando Nítido. Precio Poco Negociable. Traspaso Directo"
Kia Forte,2017,73000,Gasolina,8900,"Garantía: Como es visto no hay garantía Financiamiento: no Color : Blanco DESCRIPCIÓN CALIFICACIONES SEGURIDAD KIA FORTE 2017 S FULL EXTRAS TODAS LAS BOLSAS BUENAS AIRE ACONDICIONADO RINES ESPECIALES LANTAS NUEVAS PANTALLA TACTIL / CÁMARA MOTOR 2.0/ 4 CILINDROS / AUTOMÁTICO / -PRECIO $8,900 NEGOCIABLE"
Hyundai Elantra,2016,78000,Gasolina,8850,Financiamiento: no Precio negociable: si Color : azul DESCRIPCIÓN CALIFICACIONES SEGURIDAD Elnatra SE 2016 -78mil millas -Bluetooth -Usb -Golpe leve -Motor 1.8 eco -caja al 100% -cero ruidos -Automático y secuencial caja a toda prueba -Motor super nitido 10 de 10 -Interior 10 de 10 gris -Rines especiales -A/c al 100% -traspaso directo -esperando placas -camara de retrocero -sonido premiun Puede traer su mecánico se muestra sin compromiso.
Kia Forte,2017,94000,Gasolina,8300,Precio negociable: si Color : Negro DESCRIPCIÓN CALIFICACIONES SEGURIDAD Transmisión automática. Motor: 2.0 Mantenimiento al día A/C en buen estado. Ventanas eléctricas. Mandos al timón. Tapicería en buen estado. Interesados llamar al o escribir al WhatsApp
